photo,lieu,latitude,longitude,month,year,x,y,Mean IoU,Class 1 IoU,Class 2 IoU,Mean Acc,Class 1 Acc,Class 2 Acc,LowMeanIoU,LowClass1Iou,LowClass2IoU,LowMeanAcc,LowClass1Acc,LowClass2Acc,MeanIoULight,Class1IoULight,Class2IoULight,MeanAccLight,Class1AccLight,Class2AccLight,difficulty
187_rgb.png,Pioggiola,42.5371144,8.9971028,10,2005,0.425948961,0.872219775,0.135850514,0.085202663,0.186498366,0.093874916,0.016525941,0.171223891,0.745693542,0.835627976,0.655759108,0.832002641,0.968054456,0.695950826,0.881544056,0.920830639,0.842257473,0.925877558,0.984580398,0.867174717,easy
143_rgb.png,Pioggiola,42.5371144,8.9971028,1,2011,0.425948961,0.872219775,0.262306241,0.141165208,0.383447274,0.204400216,0.004155113,0.404645318,0.648399555,0.803383256,0.493415853,0.749021662,0.966534313,0.53150901,0.910705796,0.944548464,0.876863127,0.953421877,0.970689427,0.936154328,easy
275_rgb.png,Piccovaggia,41.5814286,9.3390826,7,2011,0.911157112,0,0.456300323,0.085764471,0.826836175,0.428761617,-0.00520584,0.862729073,0.446459346,0.892918692,0,0.5,1,0,0.902759669,0.978683162,0.826836175,0.928761617,0.99479416,0.862729073,difficult
274_rgb.png,Piccovaggia,41.5814286,9.3390826,7,2011,0.911157112,0,0.001050652,-0.001444187,0.003545491,0.056362537,-0.010459557,0.123184631,0.915559756,0.988265291,0.842854222,0.928771968,0.998585337,0.858958598,0.916610408,0.986821103,0.846399713,0.985134505,0.98812578,0.982143229,easy
272_rgb.png,Oso,41.6869551,9.2624559,3,2012,0.802437535,0.09631021,-0.123314898,-0.064430715,-0.182199082,0.093931409,-0.085856491,0.273719309,0.798678278,0.967445962,0.629910593,0.847597505,0.990435992,0.704759018,0.675363379,0.903015247,0.447711512,0.941528914,0.904579501,0.978478327,easy
208_rgb.png,Ortolo,41.5939295,9.0218078,7,2009,0.461000936,0.011409118,-0.28344587,-0.294235417,-0.272656323,0.029008195,-0.319900694,0.377917084,0.683396891,0.959031218,0.407762563,0.72785071,0.991276325,0.464425095,0.399951021,0.664795801,0.13510624,0.756858905,0.671375631,0.84234218,easy
240_rgb.png,Monte,42.4686,9.3914,10,2006,0.985386143,0.809689167,0.280425925,0.048043523,0.512808328,0.260721747,0.003352877,0.518090616,0.566725819,0.925259306,0.208192332,0.607444087,0.994299762,0.220588413,0.847151745,0.973302829,0.72100066,0.868165834,0.997652639,0.738679029,difficult
128_rgb.png,Monte,42.4686,9.3914,10,2012,0.985386143,0.809689167,0.013804267,-0.0372926,0.064901134,0.116340552,-0.116730973,0.349412078,0.711785365,0.879631584,0.543939145,0.790284929,0.967118748,0.613451111,0.725589632,0.842338984,0.60884028,0.906625481,0.850387774,0.962863188,easy
127_rgb.png,Monte,42.4686,9.3914,10,2012,0.985386143,0.809689167,0.44716583,0.149766488,0.744565173,0.394941002,-0.030114543,0.819996547,0.385429679,0.770859358,0,0.5,1,0,0.832595509,0.920625846,0.744565173,0.894941002,0.969885457,0.819996547,difficult
126_rgb.png,Monte,42.4686,9.3914,10,2012,0.985386143,0.809689167,0.340801289,0.126048773,0.555553805,0.298697976,-0.037204621,0.634600573,0.437426478,0.752837774,0.122015182,0.558827955,0.993451128,0.124204781,0.778227767,0.878886548,0.677568987,0.857525931,0.956246507,0.758805354,difficult
